Data_Point_ID,GIR_Section,Sub_Section,Data_Element_Name,Description,Data_Type,Required,XML_Element_Path,Source_System,Data_Owner,Priority,Validation_Rule,Notes,Collection_Status
S3-164,Section 3,3.15 Multi-Parent,InclusiveOwnershipTest,Inclusive ownership test met,Boolean,Conditional,GIR/MultiParent/InclusiveTest,GIR Analysis,Group Tax,High,True/False,Combined control,Not Started
S3-165,Section 3,3.15 Multi-Parent,SplitOwnershipRules,Split ownership rules apply,Boolean,Conditional,GIR/MultiParent/SplitOwnership,GIR Calculation,Group Tax,High,True/False,Allocation impacts,Not Started
S3-166,Section 3,3.16 Minority-Owned,MinorityOwnedCECount,Number of minority-owned CEs,Integer,Yes,GIR/MinorityOwned/Count,Legal Entity Master,Group Tax,Medium,>= 0,30-50% ownership,Not Started
S3-167,Section 3,3.16 Minority-Owned,MOCEOwnershipLevel,Ownership level for MOCE,Decimal,Conditional,GIR/MinorityOwned/Ownership,Legal Entity Master,Group Tax,Medium,30-50 percentage,Per MOCE,Not Started
S3-168,Section 3,3.16 Minority-Owned,MOCEIncomeAllocation,Income allocated from MOCE,Decimal,Conditional,GIR/MinorityOwned/IncomeAlloc,GIR Calculation,Group Tax,Medium,Any value,Pro-rata,Not Started
S3-169,Section 3,3.16 Minority-Owned,MOCETaxAllocation,Tax allocated from MOCE,Decimal,Conditional,GIR/MinorityOwned/TaxAlloc,GIR Calculation,Group Tax,Medium,Any value,Pro-rata,Not Started
S3-170,Section 3,3.16 Minority-Owned,MOCESeparateCalcRequired,Separate ETR calc required,Boolean,Conditional,GIR/MinorityOwned/SeparateCalc,GIR Analysis,Group Tax,Medium,True/False,If applicable,Not Started
S3-171,Section 3,3.17 JV Treatment,JVCECount,Number of JV constituent entities,Integer,Yes,GIR/JointVenture/Count,Legal Entity Master,Group Tax,Medium,>= 0,50%+ ownership,Not Started
S3-172,Section 3,3.17 JV Treatment,JVGloBEIncome,GloBE income from JVs,Decimal,Conditional,GIR/JointVenture/Income,GIR Calculation,Group Tax,High,Any value,Per ownership,Not Started
S3-173,Section 3,3.17 JV Treatment,JVCoveredTaxes,Covered taxes from JVs,Decimal,Conditional,GIR/JointVenture/CoveredTaxes,GIR Calculation,Group Tax,High,Any value,Per ownership,Not Started
S3-174,Section 3,3.17 JV Treatment,JVTopUpTax,Top-up tax from JVs,Decimal,Conditional,GIR/JointVenture/TopUpTax,GIR Calculation,Group Tax,High,>= 0,Allocated share,Not Started
S3-175,Section 3,3.17 JV Treatment,JVSeparateGroup,JV treated as separate group,Boolean,Conditional,GIR/JointVenture/SeparateGroup,GIR Configuration,Group Tax,Medium,True/False,Election,Not Started
S3-176,Section 3,3.18 Inv Entity,InvestmentEntityCount,Number of investment entities,Integer,Yes,GIR/InvestmentEntity/Count,Legal Entity Master,Group Tax,Medium,>= 0,Qualifying IEs,Not Started
S3-177,Section 3,3.18 Inv Entity,IEFairValueIncome,Fair value income from IEs,Decimal,Conditional,GIR/InvestmentEntity/FVIncome,Financial System,Local Finance,Medium,Any value,Mark-to-market,Not Started
S3-178,Section 3,3.18 Inv Entity,IEElectionApplied,Investment entity election,Boolean,Conditional,GIR/InvestmentEntity/Election,GIR Configuration,Group Tax,Medium,True/False,Taxable at parent,Not Started
S3-179,Section 3,3.18 Inv Entity,IEAdjustedBasis,Adjusted basis computation,Decimal,Conditional,GIR/InvestmentEntity/AdjBasis,GIR Calculation,Group Tax,Medium,Any value,If elected,Not Started
S3-180,Section 3,3.18 Inv Entity,IEInsuranceSubsidiary,Insurance investment subsidiary,Boolean,Conditional,GIR/InvestmentEntity/Insurance,GIR Analysis,Group Tax,Medium,True/False,Special rules,Not Started
S3-181,Section 3,3.19 Reorg,CorporateReorganization,Corporate reorg occurred,Boolean,Yes,GIR/Reorganization/Occurred,Legal Entity Master,Group Tax,High,True/False,Current year,Not Started
S3-182,Section 3,3.19 Reorg,ReorgType,Type of reorganization,Enumeration,Conditional,GIR/Reorganization/Type,Legal Entity Master,Group Tax,High,Merger/Spin-off/Acquisition,Classification,Not Started
S3-183,Section 3,3.19 Reorg,ReorgEffectiveDate,Effective date of reorganization,Date,Conditional,GIR/Reorganization/EffectiveDate,Legal Entity Master,Group Tax,High,Valid date format,Transaction date,Not Started
S3-184,Section 3,3.19 Reorg,ReorgImpactOnGloBE,Impact on GloBE calculations,String,Conditional,GIR/Reorganization/Impact,GIR Analysis,Group Tax,High,Description,Documentation,Not Started
S3-185,Section 3,3.19 Reorg,TransferredAssetsCarryover,Transferred assets carryover,Decimal,Conditional,GIR/Reorganization/AssetCarryover,GIR Calculation,Group Tax,High,Any value,Basis tracking,Not Started
S3-186,Section 3,3.19 Reorg,TransferredDTCarryover,Transferred DT carryover,Decimal,Conditional,GIR/Reorganization/DTCarryover,GIR Calculation,Group Tax,High,Any value,DTA/DTL,Not Started
S3-187,Section 3,3.19 Reorg,NewCEFromReorg,New CEs from reorganization,String,Conditional,GIR/Reorganization/NewCEs,Legal Entity Master,Group Tax,Medium,Entity names,Added entities,Not Started
S3-188,Section 3,3.19 Reorg,DisposedCEFromReorg,Disposed CEs from reorganization,String,Conditional,GIR/Reorganization/DisposedCEs,Legal Entity Master,Group Tax,Medium,Entity names,Removed entities,Not Started
S3-189,Section 3,3.19 Reorg,ReorgDocumentation,Reorganization documentation,String,Conditional,GIR/Reorganization/Documentation,Document Management,Group Tax,Medium,File reference,Agreements,Not Started
S3-190,Section 3,3.19 Reorg,SuccessorEntityMapping,Successor entity mapping,String,Conditional,GIR/Reorganization/SuccessorMap,Legal Entity Master,Group Tax,High,Old to new mapping,Continuity,Not Started
S3-191,Section 3,3.20 Summary Calcs,TotalGroupGloBEIncome,Total group GloBE income,Decimal,Yes,GIR/Summary/TotalGloBEIncome,GIR Calculation,Group Tax,Critical,Any value,All jurisdictions,Not Started
S3-192,Section 3,3.20 Summary Calcs,TotalGroupCoveredTaxes,Total group covered taxes,Decimal,Yes,GIR/Summary/TotalCoveredTaxes,GIR Calculation,Group Tax,Critical,Any value,All jurisdictions,Not Started
S3-193,Section 3,3.20 Summary Calcs,AverageGroupETR,Average group ETR,Decimal,Yes,GIR/Summary/AverageETR,GIR Calculation,Group Tax,High,Percentage,Weighted average,Not Started
S3-194,Section 3,3.20 Summary Calcs,JurisdictionsBelowMinimum,Count jurisdictions < 15%,Integer,Yes,GIR/Summary/BelowMinCount,GIR Calculation,Group Tax,High,>= 0,Top-up trigger,Not Started
S3-195,Section 3,3.20 Summary Calcs,TotalTopUpTaxGroup,Total top-up tax for group,Decimal,Yes,GIR/Summary/TotalTopUpTax,GIR Calculation,Group Tax,Critical,>= 0,All jurisdictions,Not Started
S3-196,Section 3,3.20 Summary Calcs,TotalIIRAllocation,Total IIR amount allocated,Decimal,Yes,GIR/Summary/TotalIIR,GIR Calculation,Group Tax,Critical,>= 0,Primary mechanism,Not Started
S3-197,Section 3,3.20 Summary Calcs,TotalUTPRAllocation,Total UTPR amount allocated,Decimal,Yes,GIR/Summary/TotalUTPR,GIR Calculation,Group Tax,Critical,>= 0,Backstop amount,Not Started
S3-198,Section 3,3.20 Summary Calcs,TotalQDMTTCredits,Total QDMTT credits,Decimal,Yes,GIR/Summary/TotalQDMTT,GIR Calculation,Group Tax,Critical,>= 0,Domestic offset,Not Started
S3-199,Section 3,3.20 Summary Calcs,NetGroupTopUpTax,Net group top-up tax,Decimal,Yes,GIR/Summary/NetTopUpTax,GIR Calculation,Group Tax,Critical,>= 0,Final liability,Not Started
S3-200,Section 3,3.20 Summary Calcs,GIRCompletionStatus,GIR completion status,Enumeration,Yes,GIR/Summary/CompletionStatus,GIR Workflow,Group Tax,Critical,Draft/Ready/Submitted,Workflow state,Not Started
